date,equity,cash,n_positions,exposure,drawdown
2023-12-25,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-26,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-27,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-28,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-29,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-30,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-31,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2024-01-01,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2024-01-02,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2024-01-03,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2024-01-04,105247.86634140144,67080.87963966359,2,0.3626390541536715,0.08393405656485509
2024-01-05,104486.11573905255,67080.87963966359,2,0.35799240726687714,0.09056425068147
2024-01-06,103968.72555636609,67080.87963966359,2,0.35479751934348713,0.09506755837123654
2024-01-07,102880.53969220996,67080.87963966359,2,0.3479730973384182,0.1045390093842899
2024-01-08,104579.3558846217,67080.87963966359,2,0.35856480399753765,0.08975269862929085
2024-01-09,103846.80446511105,67080.87963966359,2,0.3540400209213905,0.09612874624484999
2024-01-10,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-11,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-12,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-13,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-14,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-15,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-16,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-17,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-18,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-19,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-20,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-21,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-22,105972.17568243397,105972.17568243397,0,0.0,0.07762974710095065
2024-01-23,106110.85867445267,86878.10906797301,1,0.1812514746062473,0.07642266547223696
2024-01-24,106222.61098340969,86878.10906797301,1,0.18211284524401292,0.07544998557007446
2024-01-25,106153.45917501915,86878.10906797301,1,0.1815800470078525,0.07605187536409688
2024-01-26,107062.38046850754,86878.10906797301,1,0.18852813950341543,0.06814072361184319
2024-01-27,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-01-28,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-01-29,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-01-30,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-01-31,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-01,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-02,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-03,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-04,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-05,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-06,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-07,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-08,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-09,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-10,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
